476,2,American,Medium
477,4,Hapus(Alphaso),Small
478,2,Golden,Small
479,12,Totapuri,Large
480,4,Dusheri,Medium
481,12,Hapus(Alphaso),Medium
482,114,Medium,Small
483,4,Other,Small
484,4,Other,Medium
485,12,Langra,Medium
486,12,Other,Medium
487,2,American,Large
488,4,Langra,Large
489,20,Sharbati,-
490,1,Good (whole),-
491,4,Fazli,Medium
492,5,Dry F.A.Q.,-
493,12,IR-8,-
494,8,Chandermukhi,-
495,12,Military special,-
496,21,Basmati (Rose),-
497,12,Kalyan,-
498,12,MP Quality,-
499,62,Other,Medium
500,8,Military special,-
501,12,Basmati Golden Sela New,-
502,21,Basmati Golden Sela New,-
503,12,Basmati Paddy,-
504,12,Kasmir/Shimla - II,Medium
505,12,Champa,Medium
506,12,Fazli,Medium
507,12,Other,Large
508,12,Coarse,-
509,4,Dusheri,Large
510,2,Simla,Medium
511,12,Masoori-Non Basmti,-
512,12,Lokwan Gujrat,-
513,12,MP 147,-
514,12,Punjab-Mill Dhada,-
515,4,Langra,Medium
516,13,Average,-
517,155,Other,-
518,2,Kasmir/Shimla - II,Small
519,114,Medium,Large
520,2,Delicious,Medium
521,16,Punjab Sathi-1,-
522,12,PR-103,-
523,12,Simla,Small
524,12,Kesri,Medium
525,2,Simla,Large
526,12,Nagpuri,Small
527,20,2189 No. 1,-
528,2,French,Large
529,12,Kalidevi,-
530,69,Ranchi,-
531,12,R.G.J-34 24mm-Fine,-
532,156,Other,-
533,72,Other,Large
534,12,Kasmir/Shimla - II,Large
535,12,Kasmir/Shimla - II,Small
536,3,Black,Medium
537,12,Green,Large
538,12,Green,Medium
539,12,Green,Small
540,12,Basmati Car,-
541,12,Basmati Charmi,-
542,12,Basmati Silky Kohinoor,-
543,12,Basmati Super Kohinoor,-
544,12,Basmati Trophy,-
545,12,IR 20 Fine Raw,-
546,12,Jaya,-
547,12,Ponni,-
548,12,Ponni (Fine) Boiled,-
549,12,Ponni Fine Raw,-
550,12,IR-8 Raw (New),-
551,12,Zeeraga Samba Rawrice,-
552,21,Basmati Car,-
553,75,Other,Small
554,12,Hybrid,-
555,12,Shelled (Bunch),-
556,16,Hybrid/Local,-
557,12,Whitish,-
558,2,Delicious,Large
559,12,Simla,Large
560,47,LDH-11,-
561,21,PR-106,-
562,12,Simla,Medium
563,7,Pine Apple,Small
564,6,Nagpuri,Large
565,12,Nagpuri,Medium
566,47,LD-327,-
567,12,Golden,Large
568,12,Golden,Medium
569,12,Golden,Small
570,2,Golden,Large
571,134,Deshi,-
572,50,M-13,-
573,16,Red,-
574,6,Medium,Large
575,12,Superior,-
576,50,F.A.Q,-
577,12,M-13,-
578,18,Laha(Sarsib),-
579,63,Other,-
580,157,Other,-
581,158,Other,-
582,2,Creamjon,Medium
583,159,Other,-
584,110,Desi,-
585,3,Other,Large
586,40,ADT 39,-
587,12,ADT 43,-
588,12,Champakali,-
589,12,I.R. 20,-
590,12,I.R. 50,-
591,14,Jowar Hybrid,-
592,12,Mexican,-
593,40,ADT 43,-
594,19,Sup,Large
595,12,Sup,-
596,58,Other,Large
597,58,Other,Medium
598,143,Cowpea Dal (Split),-
599,41,Other,-
600,12,J 13,-
601,80,Other,-
602,12,Other,Small
603,20,Sona,-
604,100,Other,Large
605,12,Delicious,Medium
606,12,Delicious,Small
607,40,Champakali,-
608,160,Other,Medium
609,161,Other,Medium
610,12,ADT 39,-
611,40,J 13,-
612,20,Maharashtra 2189,-
613,162,Other,-
614,44,IISort without Husk,-
615,47,CJ 73 22mm FIne,-
616,12,Shanker 4 31mm FIne,-
617,80,Rajapuri,-
618,163,Gouard,-
619,69,Local,-
620,50,Groundnut seed,-
621,139,Horse gram (Whole),-
622,12,Small - I,-
